state,scenario,period,ruler,unweighted_mean,area_weighted_mean,delta_area_minus_unweighted,n_districts_scored,n_districts_with_area
West Bengal,ssp245,2040-2060,linear,60.536800752087096,62.14737034984275,1.6105695977556564,23,23
West Bengal,ssp245,2060-2080,linear,68.42898916482395,70.0291245537646,1.6001353889406573,23,23
West Bengal,ssp585,2020-2040,linear,50.28065794676436,51.76438257974054,1.483724632976184,23,23
West Bengal,ssp585,2040-2060,linear,67.17398886339643,68.73866538358551,1.5646765201890815,23,23
West Bengal,ssp585,2060-2080,linear,83.23887824771197,84.8669169205425,1.6280386728305274,23,23
Andaman & Nicobar Islands,historical,1990-2010,cdf,14.72060252672498,14.825062653165924,0.10446012644094438,3,3
Andaman & Nicobar Islands,ssp245,2020-2040,cdf,38.19004089731131,37.817358907899425,-0.37268198941188757,3,3
Andaman & Nicobar Islands,ssp245,2040-2060,cdf,48.50436305474572,48.46983020939554,-0.034532845350177865,3,3
Andaman & Nicobar Islands,ssp245,2060-2080,cdf,49.36917921930678,49.56044323247409,0.1912640131673129,3,3
Andaman & Nicobar Islands,ssp585,2020-2040,cdf,40.36215379008747,39.93445033979756,-0.4277034502899113,3,3
Andaman & Nicobar Islands,ssp585,2040-2060,cdf,49.08993359248462,49.21935090870123,0.12941731621661035,3,3
Andaman & Nicobar Islands,ssp585,2060-2080,cdf,49.59613905085845,49.715698439815355,0.11955938895690821,3,3
Andhra Pradesh,historical,1990-2010,cdf,35.4359336454362,35.68851185655273,0.25257821111652845,26,26
Andhra Pradesh,ssp245,2020-2040,cdf,46.861152771548184,47.04192810525448,0.1807753337062934,26,26
Andhra Pradesh,ssp245,2040-2060,cdf,60.3235322288256,60.35417574423673,0.03064351541112842,26,26
Andhra Pradesh,ssp245,2060-2080,cdf,73.49604264782838,73.59163041864453,0.09558777081615233,26,26
Andhra Pradesh,ssp585,2020-2040,cdf,47.48692952455709,47.67339984637449,0.18647032181739576,26,26
Andhra Pradesh,ssp585,2040-2060,cdf,70.83577455707558,70.82813545440554,-0.007639102670040643,26,26
Andhra Pradesh,ssp585,2060-2080,cdf,86.90846462211259,87.26494005486856,0.35647543275597116,26,26
Arunachal Pradesh,historical,1990-2010,cdf,5.488682767062871,4.4742023046617065,-1.0144804624011643,26,26
Arunachal Pradesh,ssp245,2020-2040,cdf,16.886914106301866,15.641935067922901,-1.2449790383789647,26,26
Arunachal Pradesh,ssp245,2040-2060,cdf,26.404678973237647,24.96004424091386,-1.444634732323788,26,26
Arunachal Pradesh,ssp245,2060-2080,cdf,35.28983399678553,33.67574838402515,-1.614085612760384,26,26
Arunachal Pradesh,ssp585,2020-2040,cdf,18.74963206436421,17.47220808861552,-1.2774239757486896,26,26
Arunachal Pradesh,ssp585,2040-2060,cdf,34.094276790386495,32.47245653998822,-1.6218202503982724,26,26
